,nit,entidad_matriz,year,entidad,localizacion,localizacion_desc,mision_vision,pers_estrategica,ppto_global,mes_proyectado,precio_base,date_last_publication,ref_contrato,date_publised,modalidad,contacto,cod_producto,nombre_producto,cod_clase,nombre_clase,cod_familia,nombre_familia,diff_dates,year_publised,rango_precio
18135,800114312,DIRECCION TERRITORIAL DE SALUD DE CALDAS,2019,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,CO-CAL-17001,Caldas,"MISIÓN: Realizar acciones de Asistencia Técnica e inspección vigilancia y control a los diferentes actores del Sistema General de Seguridad Social en Salud, así como gestionar la prestación de los servicios de salud para mejorar la calidad de vida de la población caldense.

VISIÓN
Para 2020 seremos la entidad modelo en el desarrollo de los ejes articuladores de Atención Primaria Social, Observatorio Social y movilización social de actores, basándonos en el mejoramiento continuo de los procesos, participación ciudadana,  gestión del conocimiento, uso eficiente de los recursos y desarrollo del talento humano, en armonía con el medio ambiente.","Para dar cumplimiento con el Plan de  Desarrollo Departamental Caldas Territorio de Oportunidades, la DTSC requiere llevar a cabo los proyectos de inversión, los cuales serán materializados a través de la adquisición de bienes y servicios  dentro del marco de los principios de oportunidad, austeridad y equidad, de acuerdo a la disponibilidad de recursos.",51750899436,Enero,21670000.0,2019-12-21 00:00:00,DTSC-CD-78-2019,2018-12-28 00:00:00,CCE-16-Servicios_profesionales_gestion,GERSON ORLANDO BERMONT GALVIS,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,358,2018,21.000.001-43.827.960
18143,800114312,DIRECCION TERRITORIAL DE SALUD DE CALDAS,2019,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,CO-CAL-17001,Caldas,"MISIÓN: Realizar acciones de Asistencia Técnica e inspección vigilancia y control a los diferentes actores del Sistema General de Seguridad Social en Salud, así como gestionar la prestación de los servicios de salud para mejorar la calidad de vida de la población caldense.

VISIÓN
Para 2020 seremos la entidad modelo en el desarrollo de los ejes articuladores de Atención Primaria Social, Observatorio Social y movilización social de actores, basándonos en el mejoramiento continuo de los procesos, participación ciudadana,  gestión del conocimiento, uso eficiente de los recursos y desarrollo del talento humano, en armonía con el medio ambiente.","Para dar cumplimiento con el Plan de  Desarrollo Departamental Caldas Territorio de Oportunidades, la DTSC requiere llevar a cabo los proyectos de inversión, los cuales serán materializados a través de la adquisición de bienes y servicios  dentro del marco de los principios de oportunidad, austeridad y equidad, de acuerdo a la disponibilidad de recursos.",51750899436,Enero,23640000.0,2019-12-21 00:00:00,DTSC-DC-79-2019,2018-12-28 00:00:00,CCE-16-Servicios_profesionales_gestion,GERSON ORLANDO BERMONT GALVIS,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,358,2018,21.000.001-43.827.960
18160,800114312,DIRECCION TERRITORIAL DE SALUD DE CALDAS,2019,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,CO-CAL-17001,Caldas,"MISIÓN: Realizar acciones de Asistencia Técnica e inspección vigilancia y control a los diferentes actores del Sistema General de Seguridad Social en Salud, así como gestionar la prestación de los servicios de salud para mejorar la calidad de vida de la población caldense.

VISIÓN
Para 2020 seremos la entidad modelo en el desarrollo de los ejes articuladores de Atención Primaria Social, Observatorio Social y movilización social de actores, basándonos en el mejoramiento continuo de los procesos, participación ciudadana,  gestión del conocimiento, uso eficiente de los recursos y desarrollo del talento humano, en armonía con el medio ambiente.","Para dar cumplimiento con el Plan de  Desarrollo Departamental Caldas Territorio de Oportunidades, la DTSC requiere llevar a cabo los proyectos de inversión, los cuales serán materializados a través de la adquisición de bienes y servicios  dentro del marco de los principios de oportunidad, austeridad y equidad, de acuerdo a la disponibilidad de recursos.",51750899436,Enero,19090000.0,2019-12-21 00:00:00,DTSC-CD-191-2019,2018-12-28 00:00:00,CCE-16-Servicios_profesionales_gestion,GERSON ORLANDO BERMONT GALVIS,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,358,2018,0-21.000.000
18168,800114312,DIRECCION TERRITORIAL DE SALUD DE CALDAS,2019,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,CO-CAL-17001,Caldas,"MISIÓN: Realizar acciones de Asistencia Técnica e inspección vigilancia y control a los diferentes actores del Sistema General de Seguridad Social en Salud, así como gestionar la prestación de los servicios de salud para mejorar la calidad de vida de la población caldense.

VISIÓN
Para 2020 seremos la entidad modelo en el desarrollo de los ejes articuladores de Atención Primaria Social, Observatorio Social y movilización social de actores, basándonos en el mejoramiento continuo de los procesos, participación ciudadana,  gestión del conocimiento, uso eficiente de los recursos y desarrollo del talento humano, en armonía con el medio ambiente.","Para dar cumplimiento con el Plan de  Desarrollo Departamental Caldas Territorio de Oportunidades, la DTSC requiere llevar a cabo los proyectos de inversión, los cuales serán materializados a través de la adquisición de bienes y servicios  dentro del marco de los principios de oportunidad, austeridad y equidad, de acuerdo a la disponibilidad de recursos.",51750899436,Enero,19920000.0,2019-12-21 00:00:00,DTSC-CD-200-2019,2018-12-28 00:00:00,CCE-16-Servicios_profesionales_gestion,GERSON ORLANDO BERMONT GALVIS,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,358,2018,0-21.000.000
18174,800114312,DIRECCION TERRITORIAL DE SALUD DE CALDAS,2019,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,CO-CAL-17001,Caldas,"MISIÓN: Realizar acciones de Asistencia Técnica e inspección vigilancia y control a los diferentes actores del Sistema General de Seguridad Social en Salud, así como gestionar la prestación de los servicios de salud para mejorar la calidad de vida de la población caldense.

VISIÓN
Para 2020 seremos la entidad modelo en el desarrollo de los ejes articuladores de Atención Primaria Social, Observatorio Social y movilización social de actores, basándonos en el mejoramiento continuo de los procesos, participación ciudadana,  gestión del conocimiento, uso eficiente de los recursos y desarrollo del talento humano, en armonía con el medio ambiente.","Para dar cumplimiento con el Plan de  Desarrollo Departamental Caldas Territorio de Oportunidades, la DTSC requiere llevar a cabo los proyectos de inversión, los cuales serán materializados a través de la adquisición de bienes y servicios  dentro del marco de los principios de oportunidad, austeridad y equidad, de acuerdo a la disponibilidad de recursos.",51750899436,Febrero,8000000.0,2019-12-21 00:00:00,DTSC-CD-272-2019,2018-12-28 00:00:00,CCE-16-Servicios_profesionales_gestion,GERSON ORLANDO BERMONT GALVIS,V1.81111700,Sistemas de manejo de información MIS,V1.81110000,Servicios informáticos,V1.81000000,"Servicios Basados en Ingeniería, Investigación y Tecnología",358,2018,0-21.000.000
18181,800114312,DIRECCION TERRITORIAL DE SALUD DE CALDAS,2019,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,CO-CAL-17001,Caldas,"MISIÓN: Realizar acciones de Asistencia Técnica e inspección vigilancia y control a los diferentes actores del Sistema General de Seguridad Social en Salud, así como gestionar la prestación de los servicios de salud para mejorar la calidad de vida de la población caldense.

VISIÓN
Para 2020 seremos la entidad modelo en el desarrollo de los ejes articuladores de Atención Primaria Social, Observatorio Social y movilización social de actores, basándonos en el mejoramiento continuo de los procesos, participación ciudadana,  gestión del conocimiento, uso eficiente de los recursos y desarrollo del talento humano, en armonía con el medio ambiente.","Para dar cumplimiento con el Plan de  Desarrollo Departamental Caldas Territorio de Oportunidades, la DTSC requiere llevar a cabo los proyectos de inversión, los cuales serán materializados a través de la adquisición de bienes y servicios  dentro del marco de los principios de oportunidad, austeridad y equidad, de acuerdo a la disponibilidad de recursos.",51750899436,Enero,27360000.0,2019-12-21 00:00:00,DTSC-CD-067-2019,2018-12-28 00:00:00,CCE-16-Servicios_profesionales_gestion,GERSON ORLANDO BERMONT GALVIS,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,358,2018,21.000.001-43.827.960
18183,800114312,DIRECCION TERRITORIAL DE SALUD DE CALDAS,2019,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,CO-CAL-17001,Caldas,"MISIÓN: Realizar acciones de Asistencia Técnica e inspección vigilancia y control a los diferentes actores del Sistema General de Seguridad Social en Salud, así como gestionar la prestación de los servicios de salud para mejorar la calidad de vida de la población caldense.

VISIÓN
Para 2020 seremos la entidad modelo en el desarrollo de los ejes articuladores de Atención Primaria Social, Observatorio Social y movilización social de actores, basándonos en el mejoramiento continuo de los procesos, participación ciudadana,  gestión del conocimiento, uso eficiente de los recursos y desarrollo del talento humano, en armonía con el medio ambiente.","Para dar cumplimiento con el Plan de  Desarrollo Departamental Caldas Territorio de Oportunidades, la DTSC requiere llevar a cabo los proyectos de inversión, los cuales serán materializados a través de la adquisición de bienes y servicios  dentro del marco de los principios de oportunidad, austeridad y equidad, de acuerdo a la disponibilidad de recursos.",51750899436,Enero,30800000.0,2019-12-21 00:00:00,DTSC-CD-154-2019,2018-12-28 00:00:00,CCE-16-Servicios_profesionales_gestion,GERSON ORLANDO BERMONT GALVIS,V1.81111700,Sistemas de manejo de información MIS,V1.81110000,Servicios informáticos,V1.81000000,"Servicios Basados en Ingeniería, Investigación y Tecnología",358,2018,21.000.001-43.827.960
18190,800114312,DIRECCION TERRITORIAL DE SALUD DE CALDAS,2019,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,CO-CAL-17001,Caldas,"MISIÓN: Realizar acciones de Asistencia Técnica e inspección vigilancia y control a los diferentes actores del Sistema General de Seguridad Social en Salud, así como gestionar la prestación de los servicios de salud para mejorar la calidad de vida de la población caldense.

VISIÓN
Para 2020 seremos la entidad modelo en el desarrollo de los ejes articuladores de Atención Primaria Social, Observatorio Social y movilización social de actores, basándonos en el mejoramiento continuo de los procesos, participación ciudadana,  gestión del conocimiento, uso eficiente de los recursos y desarrollo del talento humano, en armonía con el medio ambiente.","Para dar cumplimiento con el Plan de  Desarrollo Departamental Caldas Territorio de Oportunidades, la DTSC requiere llevar a cabo los proyectos de inversión, los cuales serán materializados a través de la adquisición de bienes y servicios  dentro del marco de los principios de oportunidad, austeridad y equidad, de acuerdo a la disponibilidad de recursos.",51750899436,Enero,25080000.0,2019-12-21 00:00:00,DTSC-CD-105-2019,2018-12-28 00:00:00,CCE-16-Servicios_profesionales_gestion,GERSON ORLANDO BERMONT GALVIS,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,358,2018,21.000.001-43.827.960
18198,800114312,DIRECCION TERRITORIAL DE SALUD DE CALDAS,2019,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,CO-CAL-17001,Caldas,"MISIÓN: Realizar acciones de Asistencia Técnica e inspección vigilancia y control a los diferentes actores del Sistema General de Seguridad Social en Salud, así como gestionar la prestación de los servicios de salud para mejorar la calidad de vida de la población caldense.

VISIÓN
Para 2020 seremos la entidad modelo en el desarrollo de los ejes articuladores de Atención Primaria Social, Observatorio Social y movilización social de actores, basándonos en el mejoramiento continuo de los procesos, participación ciudadana,  gestión del conocimiento, uso eficiente de los recursos y desarrollo del talento humano, en armonía con el medio ambiente.","Para dar cumplimiento con el Plan de  Desarrollo Departamental Caldas Territorio de Oportunidades, la DTSC requiere llevar a cabo los proyectos de inversión, los cuales serán materializados a través de la adquisición de bienes y servicios  dentro del marco de los principios de oportunidad, austeridad y equidad, de acuerdo a la disponibilidad de recursos.",51750899436,Enero,19920000.0,2019-12-21 00:00:00,DTSC-CD-161-2019,2018-12-28 00:00:00,CCE-16-Servicios_profesionales_gestion,GERSON ORLANDO BERMONT GALVIS,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,358,2018,0-21.000.000
18213,800114312,DIRECCION TERRITORIAL DE SALUD DE CALDAS,2019,DIRECCIÓN TERRITORIAL DE SALUD DE CALDAS,CO-CAL-17001,Caldas,"MISIÓN: Realizar acciones de Asistencia Técnica e inspección vigilancia y control a los diferentes actores del Sistema General de Seguridad Social en Salud, así como gestionar la prestación de los servicios de salud para mejorar la calidad de vida de la población caldense.

VISIÓN
Para 2020 seremos la entidad modelo en el desarrollo de los ejes articuladores de Atención Primaria Social, Observatorio Social y movilización social de actores, basándonos en el mejoramiento continuo de los procesos, participación ciudadana,  gestión del conocimiento, uso eficiente de los recursos y desarrollo del talento humano, en armonía con el medio ambiente.","Para dar cumplimiento con el Plan de  Desarrollo Departamental Caldas Territorio de Oportunidades, la DTSC requiere llevar a cabo los proyectos de inversión, los cuales serán materializados a través de la adquisición de bienes y servicios  dentro del marco de los principios de oportunidad, austeridad y equidad, de acuerdo a la disponibilidad de recursos.",51750899436,Enero,23640000.0,2019-12-21 00:00:00,DTSC-CD-061-2019,2018-12-28 00:00:00,CCE-16-Servicios_profesionales_gestion,GERSON ORLANDO BERMONT GALVIS,V1.80161506,Servicios de archivo de datos,V1.80161500,Servicios de apoyo gerencial,V1.80160000,Servicios de administración de empresas,358,2018,21.000.001-43.827.960
